,model,price,spec_score,processor,core_threads,ram,ssd,graphics,display,os,extra_info
953,HP Victus 16-d0354TX Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",71,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
954,Asus TUF Gaming A15 FA506IC-HN100W Laptop (Ryzen 7 4800H/ 8GB/ 1TB SSD/ Win11/ 4GB Graph),"₹85,990",62,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX3050,"15.6 inches, 1080 x 1920 pixels",Windows 11 OS,1 Year Warranty
955,Lenovo ThinkBook 15 20VEA0YPIH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹41,999",53,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB  RAM,512 GB SSD,Intel Integrated Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
956,Asus TUF Gaming F15 FX577ZE-HN072WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹1,07,498",62,12th Gen Intel Core i7 12700H ,20 Threads,16 GB DDR5 RAM,1 TB SSD,4 GB ‎NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
957,HP Victus 16-d0361TX Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,04,000",73,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX RTX 3060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
958,Dell Inspiron 7425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11),"₹78,203",72,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11  OS,1 Year Warranty
959,Acer Predator Helios 300 NH.QC2SI.00B Laptop (11th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,19,990",78,11th Gen Intel Core i9 11900H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
960,Dell Inspiron 7425 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win11),"₹89,990",73,5th Gen AMD Ryzen 7 5825U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11  OS,1 Year Warranty
961,Asus ROG Strix G17 G713RM-LL167WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,34,990",69,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16 GB DDR5  RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"17.3 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
962,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11),"₹59,990",57,12th Gen Intel Core i5 1235U ,"10 Cores, 12 Threads",8 GB LPDDR4x RAM,256 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
963,HP Pavilion 14-dv2016TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹69,900",62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xᵉ Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
964,HP Envy x360 13-ay1059AU Laptop (Ryzen 5 5600U/ 8GB/ 512GB SSD/ Win11 Home),"₹77,990",65,5th Gen AMD Ryzen 5 5600U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Raedon Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
965,HP Pavilion Gaming 15-DK1520TX Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹60,990",71,10th Gen Intel Core i5 10300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
966,Lenovo IdeaPad Gaming 3 82K10199IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹67,000",68,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
967,HP Pavilion 14-dv2019TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹62,999",55,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
968,Asus VivoBook 15 M515DA-BQ332WS Laptop (Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),"₹34,990",55,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
969,Dell Inspiron 15 3511 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹52,890",54,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
